Full Name,DOB,Email,Age,Education Level,Gender,Current City,Province,District,Polling Division,Polling Station,Current Position of the Job,Name of the Institute,Experience,Current Salary,Position Type,FamName,FamPollingStation
Jessica Bell,2020-03-22,karen49@example.org,63,High School Diploma,Female,New Biancaside,Western,Zacharyside,6,31,Administrative Officer,Greer-Smith,10 years,Rs77418.00,Senior Polling Officer,Krueger,Fds
Keith Greene,1992-08-29,brian36@example.com,57,High School Diploma,Male,South Joseph,Western,Mcphersonstad,7,73,Principal,Johnson Ltd,7 years,Rs86981.00,Senior Polling Officer,Estes,Fds
Diane Mckee,1929-08-23,evansjohn@example.org,38,Bachelor's Degree,Female,Coleport,Anuradhapura,South Katherine,7,58,Administrative Officer,Robles-Ayala,20 years,Rs27867.00,Senior Polling Officer,Watkins,A - Colombo North
Valerie Noble,1954-04-15,jessicawagner@example.net,40,Bachelor's Degree,Female,Chadview,Uva,New Rebeccabury,3,21,Clerk,Dean-Navarro,2 years,Rs69985.00,Clerk,King,A - Colombo North
Shawn Mcguire,1924-12-10,jchandler@example.org,40,AL,Male,Courtneyfort,Central,Jamietown,5,45,Teacher,Peck Inc,16 years,Rs30201.00,Junior Polling Officer,Perez,A - Colombo North
Shannon Porter,1936-06-18,abridges@example.net,53,AL,Female,Ramirezfurt,Central,Fergusonmouth,5,10,Librarian,"Gross, Collins and Crawford",17 years,Rs99672.00,Clerk,Lam,Fds
Rebecca Johnson,1952-04-28,kevinjimenez@example.com,32,High School Diploma,Male,Tracyview,North Western,South Johnside,6,71,Librarian,Morgan-Tapia,8 years,Rs40007.00,Clerk,Houston,A - Colombo North
Alexandra Berg,1972-02-21,briannagardner@example.com,59,Bachelor's Degree,Male,Lake Heatherbury,Anuradhapura,Clarkburgh,8,6,Clerk,"Abbott, Hicks and Clark",2 years,Rs54111.00,Clerk,Phillips,A - Colombo North
Tony Jackson,1972-05-15,luisbradley@example.net,59,Bachelor's Degree,Female,South Amanda,Western,Michelleshire,2,35,Development Officer,Taylor LLC,5 years,Rs30588.00,Junior Polling Officer,Flores,A - Colombo North
Michael Thompson,1924-04-20,tschultz@example.net,63,High School Diploma,Female,Olsonfort,North Western,Mezaton,9,71,Teacher,Williams Ltd,15 years,Rs87037.00,Junior Polling Officer,Mendoza,A - Colombo North
Andrew Meyers,2013-09-30,amanda88@example.com,47,High School Diploma,Female,Bryanmouth,Central,West Todd,10,78,Principal,Green-Moss,7 years,Rs78241.00,Senior Polling Officer,Clark,Fds
