Full Name,DOB,Email,Age,Education Level,Gender,Current City,Province,District,Polling Division,Polling Station,Current Position of the Job,Name of the Institute,Experience,Current Salary,Position Type,FamName,FamPollingStation
Amelia Smith,2003-10-24,amelia.smith@example.com,33,Ph.D.,Male,Galle,Central,Kandy,Division 2,Station B,Teacher,University of Jaffna,3 years,"$56,064.37",Clerk,Fed,Fds
Michael Scott,1966-05-20,michael.scott@outlook.com,38,Bachelor's Degree,Female,Colombo,Central,Badulla,Division 10,Station 24,Doctor,University of Jaffna,0 years,"$27,324.45",Clerk,Fed,Fds
Ethan Smith,1983-10-19,ethan.smith@yahoo.com,35,Master's Degree,Male,Jaffna,Western,Galle,Division 4,Station 50,Marketing Manager,University of Colombo,6 years,"$87,531.08",Senior Polling Officer,Fed,Fds
Scarlett Scott,2002-12-11,scarlett.scott@example.com,49,High School Diploma,Other,Anuradhapura,North Western,Anuradhapura,Division 7,Station 4,Marketing Manager,University of Peradeniya,13 years,"$31,378.74",Clerk,Fed,Fds
Chloe Lopez,1960-04-06,chloe.lopez@yahoo.com,56,High School Diploma,Male,Anuradhapura,Uva,Colombo,Division 8,Station 30,Software Engineer,University of Jaffna,12 years,"$63,484.85",Clerk,Fed,Fds
Carter Torres,1964-06-21,carter.torres@yahoo.com,23,Ph.D.,Other,Anuradhapura,Uva,Colombo,Division 2,Station 37,Teacher,University of Colombo,20 years,"$110,714.17",Senior Polling Officer,Fed,Fds
David Martin,1960-09-25,david.martin@gmail.com,20,Ph.D.,Female,Colombo,Southern,Anuradhapura,Division 6,Station 26,Marketing Manager,University of Peradeniya,17 years,"$102,252.55",Senior Polling Officer,Fed,Fds
Lucas King,1958-03-01,lucas.king@outlook.com,38,Bachelor's Degree,Female,Negombo,Uva,Anuradhapura,Division 1,Station 33,Marketing Manager,University of Jaffna,7 years,"$89,410.52",Junior Polling Officer,Fed,Fds
Nathan Thomas,1973-11-21,nathan.thomas@example.com,59,Bachelor's Degree,Male,Trincomalee,Eastern,Anuradhapura,Division 4,Station 49,Software Engineer,University of Jaffna,5 years,"$94,734.25",Junior Polling Officer,Fed,Fds
Emma Allen,1953-12-28,emma.allen@gmail.com,61,Bachelor's Degree,Female,Colombo,Central,Kandy,Division 3,Station 38,Software Engineer,University of Colombo,10 years,"$107,403.66",Junior Polling Officer,Fed,Fds
Emma Garcia,1959-09-06,emma.garcia@gmail.com,28,Bachelor's Degree,Other,Anuradhapura,Central,Kandy,Division 10,Station 1,Marketing Manager,University of Colombo,5 years,"$91,566.17",Junior Polling Officer,Fed,Fds
Lucas Lewis,1954-08-03,lucas.lewis@outlook.com,28,Master's Degree,Other,Galle,North Western,Mannar,Division 10,Station 19,Doctor,University of Peradeniya,14 years,"$46,468.61",Senior Polling Officer,Fed,Fds
Lily Lewis,1970-04-09,lily.lewis@yahoo.com,23,Master's Degree,Female,Negombo,Northern,Jaffna,Division 2,Station 14,Accountant,University of Moratuwa,11 years,"$112,681.33",Senior Polling Officer,Fed,Fds
Ava Adams,1950-03-15,ava.adams@outlook.com,42,High School Diploma,Other,Anuradhapura,Central,Mannar,Division 5,Station 5,Teacher,University of Moratuwa,1 years,"$100,004.0",Clerk,Fed,Fds
Victoria Anderson,1973-12-03,victoria.anderson@yahoo.com,34,Ph.D.,Female,Kandy,Sabaragamuwa,Kandy,Division 6,Station 17,Accountant,University of Peradeniya,11 years,"$116,597.99",Senior Polling Officer,Fed,Fds
Carter Moore,1972-02-20,carter.moore@gmail.com,61,Master's Degree,Female,Anuradhapura,North Central,Galle,Division 1,Station 32,Doctor,University of Jaffna,13 years,"$77,791.49",Senior Polling Officer,Fed,Fds
Aria Brown,1991-08-03,aria.brown@gmail.com,37,Bachelor's Degree,Female,Anuradhapura,Sabaragamuwa,Mannar,Division 5,Station 19,Marketing Manager,University of Peradeniya,2 years,"$100,408.28",Junior Polling Officer,Fed,Fds
Ryan Martin,1997-10-15,ryan.martin@outlook.com,37,Master's Degree,Female,Trincomalee,North Central,Galle,Division 10,Station 2,Teacher,University of Colombo,6 years,"$61,517.66",Senior Polling Officer,Fed,Fds
William Moore,1993-04-12,william.moore@example.com,49,Bachelor's Degree,Female,Anuradhapura,Uva,Mannar,Division 3,Station 17,Doctor,University of Moratuwa,15 years,"$50,203.49",Junior Polling Officer,Fed,Fds
Victoria Rivera,1962-12-12,victoria.rivera@gmail.com,62,Master's Degree,Female,Jaffna,Western,Kandy,Division 3,Station 50,Teacher,University of Colombo,7 years,"$42,618.6",Senior Polling Officer,Fed,Fds
Leo Robinson,1973-03-23,leo.robinson@example.com,61,High School Diploma,Female,Anuradhapura,Southern,Colombo,Division 9,Station 10,Marketing Manager,University of Colombo,12 years,"$50,472.35",Clerk,Fed,Fds
Logan Nelson,1996-06-04,logan.nelson@yahoo.com,37,Master's Degree,Other,Colombo,North Central,Jaffna,Division 6,Station 24,Marketing Manager,University of Moratuwa,17 years,"$40,131.56",Senior Polling Officer,Fed,Fds
Olivia Wright,1987-10-17,olivia.wright@example.com,29,Ph.D.,Male,Colombo,North Central,Kandy,Division 2,Station 11,Marketing Manager,University of Peradeniya,6 years,"$40,245.37",Senior Polling Officer,Fed,Fds
Grace Rivera,1985-03-28,grace.rivera@outlook.com,29,Bachelor's Degree,Female,Trincomalee,North Western,Matara,Division 8,Station 45,Teacher,University of Peradeniya,6 years,"$86,652.77",Junior Polling Officer,Fed,Fds
Elijah Jackson,1998-08-22,elijah.jackson@gmail.com,43,High School Diploma,Male,Galle,Eastern,Trincomalee,Division 2,Station 7,Accountant,University of Moratuwa,17 years,"$93,986.96",Clerk,Fed,Fds
Sophia Thompson,1977-12-20,sophia.thompson@gmail.com,25,High School Diploma,Male,Trincomalee,Central,Kandy,Division 6,Station 33,Teacher,University of Jaffna,9 years,"$112,173.46",Clerk,Fed,Fds
Sophia Bell,1981-04-15,sophia.bell@example.com,22,Master's Degree,Male,Negombo,Sabaragamuwa,Badulla,Division 1,Station 39,Marketing Manager,University of Peradeniya,11 years,"$64,079.71",Senior Polling Officer,Fed,Fds
David Hernandez,1976-09-06,david.hernandez@gmail.com,29,High School Diploma,Other,Jaffna,Uva,Trincomalee,Division 8,Station 32,Software Engineer,University of Moratuwa,20 years,"$66,546.05",Clerk,Fed,Fds
Liam Jones,1972-02-07,liam.jones@outlook.com,28,High School Diploma,Male,Kandy,North Central,Badulla,Division 5,Station 12,Teacher,University of Jaffna,3 years,"$82,475.27",Clerk,Fed,Fds
Victoria Davis,1997-07-02,victoria.davis@yahoo.com,35,Ph.D.,Female,Galle,Uva,Badulla,Division 2,Station 44,Software Engineer,University of Peradeniya,3 years,"$101,487.98",Clerk,Fed,Fds
Chloe Thomas,1986-11-04,chloe.thomas@outlook.com,53,Bachelor's Degree,Female,Kandy,Eastern,Jaffna,Division 7,Station 33,Accountant,University of Moratuwa,12 years,"$117,328.69",Junior Polling Officer,Fed,Fds
Abigail Torres,1992-07-12,abigail.torres@example.com,22,Bachelor's Degree,Female,Kandy,North Central,Anuradhapura,Division 7,Station 40,Software Engineer,University of Jaffna,5 years,"$86,391.39",Junior Polling Officer,Fed,Fds
